user_id,school_name,dept_name,njit_email_address,research_area
51,Nursing: Doctorate,Department 6,zgerhold@njit.edu,RA1
52,History,Department 7,whintz@njit.edu,RA6
53,Computer Science,Department 4,meghan.reichert@njit.edu,RA3
54,Business,Department 5,martine.hickle@njit.edu,RA9
55,Political Science,Department 4,whitney.blick@njit.edud,RA4
56,Physical Therapy,Department 3,zschulist@njit.edu,RA8
57,Public Health,Department 7,deanna.hackett@njit.edu,RA5
58,Psychology,Department 5,lennie.lowe@njit.edu,RA8
59,Chemistry,Department 8,mitchell.kayden@njit.edu,RA9
60,Biological Sciences,Department 3,runte.celestino@njit.edu,RA1
61,English,Department 8,osinski.federiconjit.edu,RA9
62,English,Department 2,ramiro.wintheiser@uc,RA9
63,Computer Science,Department 2,ghalvorson@njit.edu,RA7
64,Psychology,Department 7,aimee.blick@njit.edu,RA0
65,Economics,Department 8,giles34@njit.edu,RA6
66,Earth Sciences,Department 6,moen.lucious@njit.edu,RA2
67,Economics,Department 5,dayana.padberg@njit.edu,RA8
68,Public Affairs,Department 5,isac38@njit.edu,RA9
69,History,Department 2,pfeffer.manuel@njit.edu,RA0
70,Chemistry,Department 7,alisha38@njit.edu,RA3
71,Computer Science,Department 2,freda.schroeder@njit.edu,RA7
72,Economics,Department 7,fheidenreich@njit.edu,RA8
73,Social Work,Department 9,cleta57@njit.edu,RA1
74,Computer Science,Department 9,dorothea.smith@njit.edu,RA5
75,Nursing: Doctorate,Department 6,abbigail51@njit.edu,RA6
76,Biological Sciences,Department 3,sallie.balistreri@uc,RA2
77,Physical Therapy,Department 9,reuben80@njit.edu,RA0
78,Earth Sciences,Department 9,bednar.juston@njit.edud,RA6
79,Economics,Department 8,lue42@njit.edu,RA9
80,English,Department 8,syble.dietrich@njit.edu,RA2
81,Computer Science,Department 2,myriam51@njit.edu,RA0
82,Computer Science,Department 2,alda51@njit.edu,RA1
83,Political Science,Department 3,nweissnat@njit.edu,RA6
84,Computer Science,Department 2,white.rosetta@njit.edud,RA5
85,Computer Science,Department 9,theodore.nicolasnjit.edu,RA3
86,Public Health,Department 9,fisher.rebekah@njit.edu,RA1
87,Political Science,Department 3,murphy.kenyatta@njit.edu,RA1
88,Business,Department 5,helmer.labadie@njit.edu,RA0
89,Political Science,Department 3,dee92@njit.edu,RA3
90,History,Department 7,tom08@njit.edu,RA0
91,Economics,Department 8,marielle.swaniawski@,RA3
92,Biological Sciences,Department 3,bradtke.ada@njit.edu,RA7
93,English,Department 8,lamont80@njit.edu,RA9
94,English,Department 2,alexzander76@njit.edu,RA9
95,Public Health,Department 4,goldner.elmore@njit.edu,RA9
96,English,Department 2,wehner.letha@njit.edu,RA5
97,Business,Department 5,ncruickshank@njit.edu,RA9
98,Occupational Therapy,Department 9,gerhard.gleichner@uc,RA2
99,Computer Science,Department 9,marion.johns@njit.edu,RA6
100,Nursing: Doctorate,Department 7,scollier@njit.edu,RA7
