user_id,school_name,dept_name,njit_email_address,employement_type
101,Occupational Therapy,Department 9,arlo.schulist@njit.edud,Full Time
102,Social Work,Department 9,jwisoky@njit.edu,Full Time
103,Nursing: Doctorate,Department 6,simeon40@njit.edu, Part Time
104,Social Work,Department 9,louvenia24@njit.edu,Full Time
105,Physics,Department 3,iswaniawski@njit.edu, Contractor
106,English,Department 8,zita.conn@njit.edu, Contractor
107,Public Health,Department 7,santiago65@njit.edu,Full Time
108,Political Science,Department 9,lucy95@njit.edu, Part Time
109,Economics,Department 7,tpagac@njit.edu,Full Time
110,Economics,Department 8,maybelle.keelingnjit.edu, Contractor
111,Nursing: Doctorate,Department 6,jhettinger@njit.edu,Full Time
112,Psychology,Department 7,manuela.murphy@njit.edu, Part Time
113,Computer Science,Department 2,imurray@njit.edu, Contractor
114,Biological Sciences,Department 4,flavio.von@njit.edu,Full Time
115,Social Work,Department 9,ruecker.gladyce@njit.edu,Full Time
116,Psychology,Department 3,palma.dicki@njit.edu, Part Time
117,Economics,Department 3,graciela.hamill@njit.edu, Part Time
118,Psychology,Department 3,marcellus.gottlieb@u, Contractor
119,Nursing: Doctorate,Department 6,esmeralda.reichert@u, Contractor
120,Computer Science,Department 2,efeest@njit.edu, Contractor
121,Nursing: Doctorate,Department 6,britney90@njit.edu, Contractor
122,Economics,Department 7,blangosh@njit.edu, Part Time
123,Political Science,Department 7,vbarton@njit.edu, Contractor
124,English,Department 2,elyssa.rath@njit.edu, Part Time
125,Public Health,Department 4,elsa73@njit.edu,Full Time
126,Biological Sciences,Department 3,nash81@njit.edu, Contractor
127,English,Department 2,carroll.jordi@njit.edud, Part Time
128,Economics,Department 5,danny.batz@njit.edu,Full Time
129,Economics,Department 5,herman90@njit.edu, Part Time
130,Public Affairs,Department 2,kmueller@njit.edu, Contractor
131,Public Affairs,Department 5,owelch@njit.edu, Part Time
132,Public Affairs,Department 2,swift.ezequiel@njit.edu,Full Time
133,Public Health,Department 7,stevie.lemke@njit.edu,Full Time
134,Public Health,Department 5,flatley.gabrielle@uc, Contractor
135,Public Affairs,Department 2,mckenzie.corene@njit.edu,Full Time
136,Psychology,Department 3,gudrun68@njit.edu, Part Time
137,Public Affairs,Department 2,waino.lemke@njit.edu, Contractor
138,Public Health,Department 4,dietrich.beatrice@uc,Full Time
139,Political Science,Department 3,hbrakus@njit.edu, Contractor
140,Economics,Department 5,steuber.guy@njit.edu, Part Time
141,Psychology,Department 3,aswift@njit.edu, Part Time
142,Economics,Department 5,wmedhurst@njit.edu,Full Time
143,Computer Science,Department 2,paul.mcclure@njit.edu, Part Time
144,Public Health,Department 7,kimberly65@njit.edu, Part Time
145,Physical Therapy,Department 3,bennett81@njit.edu,Full Time
146,Public Health,Department 9,eo'reilly@njit.edu, Part Time
147,Public Health,Department 4,ava.hammes@njit.edu, Part Time
148,History,Department 2,aliya.runolfssonnjit.edu,Full Time
149,Public Health,Department 7,okuphal@njit.edu, Part Time
150,Political Science,Department 4,olson.heber@njit.edu, Part Time
